"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
Bartek93794875,"ID 1461430589073113088","Thu Nov 18 20:26:19 +0000 2021"," RT @SieMaciej: Aleksander Sołżenicyn: pokazał światu zbrodnie żydowskie w powieści Archipelag Gułag – Terror żydowski zabił 66 milionów lud…",https://twitter.com/Bartek93794875/statuses/1461430589073113088,12,0,"Twitter Web App"
Bartek93794875,"ID 1461430573327597572","Thu Nov 18 20:26:15 +0000 2021"," RT @jacekmiedlar: Krzywda Polaków wciąż ciąży nad Żydami! 

Żydowscy kaci nigdy nie zostali rozliczeni, a obrzezani kłamcy przypisujący Pol…",https://twitter.com/Bartek93794875/statuses/1461430573327597572,14,0,"Twitter Web App"
Bartek93794875,"ID 1461430556579835911","Thu Nov 18 20:26:11 +0000 2021"," RT @KATryksza: Prof. Nowak: Zbrodnie żydowskie są zapominane [WIDEO] https://t.co/Zlo3sD7bWh",https://twitter.com/Bartek93794875/statuses/1461430556579835911,1,0,"Twitter Web App"
Bartek93794875,"ID 1461430551571750913","Thu Nov 18 20:26:10 +0000 2021"," RT @BarbaraSadowsk5: MOCNE! ŻYDOWSKIE zbrodnie ludobójstwa! | Ewa Rzeuska https://t.co/urlUrLwV9E przez @YouTube",https://twitter.com/Bartek93794875/statuses/1461430551571750913,10,0,"Twitter Web App"
Bartek93794875,"ID 1461430549051060228","Thu Nov 18 20:26:09 +0000 2021"," RT @pilum_eminus: Ustawa IPN powinna dodatkowo ścigać zbrodnie żydowskie na narodzie Polskim  w czasie i po wojnie #Woronicza17",https://twitter.com/Bartek93794875/statuses/1461430549051060228,4,0,"Twitter Web App"
Bartek93794875,"ID 1461430515957997575","Thu Nov 18 20:26:01 +0000 2021"," RT @katarzyna_ts: Żydowskie zbrodnie na Polakach nie przechodzą do żadna rubryka.",https://twitter.com/Bartek93794875/statuses/1461430515957997575,13,0,"Twitter Web App"
Bartek93794875,"ID 1461429914691899393","Thu Nov 18 20:23:38 +0000 2021"," RT @PrawaStronaa: Żydowskie i ukraińskie zbrodnie w 1939 ''Na każdym czołgu siedział Żyd z czerwoną opaską i pilotował'', wspominano w Grod…",https://twitter.com/Bartek93794875/statuses/1461429914691899393,10,0,"Twitter Web App"
Bartek93794875,"ID 1461429888691363844","Thu Nov 18 20:23:32 +0000 2021"," RT @hanna11816983: Śpiewak o MN: Marsz nienawiści o silnym zabarwieniu faszystowskim. To jak nazwać wasze żydowskie zbrodnie POwojenne na n…",https://twitter.com/Bartek93794875/statuses/1461429888691363844,2,0,"Twitter Web App"
Bartek93794875,"ID 1461429870878240769","Thu Nov 18 20:23:27 +0000 2021"," RT @ney12_aw: @PrawyPopulista @AdamNieznaj_2 ..... a zbrodnie żydowskie na Patriotach w latach 1944-1956 zdarzyły się tylko w Polsce",https://twitter.com/Bartek93794875/statuses/1461429870878240769,9,0,"Twitter Web App"
Bartek93794875,"ID 1461429852381323273","Thu Nov 18 20:23:23 +0000 2021"," RT @katarzyna_ts: Po wysłuchaniu polakożercy Grabowskiego podczas debaty ""Wokół pomocy dla Żydów w okupowanej Europie"" wiem jedno - polskie…",https://twitter.com/Bartek93794875/statuses/1461429852381323273,174,0,"Twitter Web App"
Bartek93794875,"ID 1461429826166919179","Thu Nov 18 20:23:17 +0000 2021"," RT @Andrzej28275539: Przemilczane żydowskie zbrodnie na Polakach w Nalibokach i Koniuchach https://t.co/siZ5qCKvML",https://twitter.com/Bartek93794875/statuses/1461429826166919179,78,0,"Twitter Web App"
Bartek93794875,"ID 1461429522063106049","Thu Nov 18 20:22:04 +0000 2021"," RT @hanna11816983: Szmaty cuchnące sałem i czosnkiem robią wszystko, żeby utajnić zbrodnie żydowskie na Polakach w wojnę w zmowie z Hitlere…",https://twitter.com/Bartek93794875/statuses/1461429522063106049,4,0,"Twitter Web App"
Bartek93794875,"ID 1461429507173330946","Thu Nov 18 20:22:01 +0000 2021"," RT @AnitaSchelde: Pan @PiotrZychowicz :
""Jeżeli wyrywanie paznokci Polakom z AK przez Różańskiego,Światło i Brystygierową...uznamy za zbrod…",https://twitter.com/Bartek93794875/statuses/1461429507173330946,32,0,"Twitter Web App"
Bartek93794875,"ID 1461429477247008777","Thu Nov 18 20:21:54 +0000 2021"," RT @antybol_k: Amerykanie, którzy razem z Anglią i Francją oddali nas pod sowiecki but Stalina, sankcjonując tym bolszewickie i żydowskie z…",https://twitter.com/Bartek93794875/statuses/1461429477247008777,2,0,"Twitter Web App"
Bartek93794875,"ID 1461429433731108866","Thu Nov 18 20:21:43 +0000 2021"," RT @RBakiewicz: Prof. Jerzy Robert Nowak: ""Zbrodnie żydowskie są zapominane"" [WIDEO] -... https://t.co/EiGwGsnCol",https://twitter.com/Bartek93794875/statuses/1461429433731108866,21,0,"Twitter Web App"
Bartek93794875,"ID 1461429423626985473","Thu Nov 18 20:21:41 +0000 2021"," RT @awdaniec47: Prof. Jerzy Robert Nowak „Przemilczane zbrodnie” żydowskie na Polakach! https://t.co/iu7lOcsfSo",https://twitter.com/Bartek93794875/statuses/1461429423626985473,86,0,"Twitter Web App"
Bartek93794875,"ID 1461429408670044169","Thu Nov 18 20:21:37 +0000 2021"," RT @malyy5: Skoro traktujemy walkę o prawdę historyczną, jako jeden z naszych absolutnie najwyższych celów,a Izrael pragnie rozliczenia się…",https://twitter.com/Bartek93794875/statuses/1461429408670044169,7,0,"Twitter Web App"
Bartek93794875,"ID 1461429271604387842","Thu Nov 18 20:21:05 +0000 2021"," RT @AnitaSchelde: Panie Prezydencie @AndrzejDuda,Pani Ambasador @Annaazari czy na wczorajszych uroczystościach padły oficjalne przeprosiny…",https://twitter.com/Bartek93794875/statuses/1461429271604387842,239,0,"Twitter Web App"
Bartek93794875,"ID 1461429160627392512","Thu Nov 18 20:20:38 +0000 2021"," RT @KrakowPresident: Żydowskie zbrodnie na Polakach: https://t.co/BOPeIVm77Q",https://twitter.com/Bartek93794875/statuses/1461429160627392512,17,0,"Twitter Web App"
Bartek93794875,"ID 1461429150988787718","Thu Nov 18 20:20:36 +0000 2021"," RT @LeszekDabrowa: Zbrodnie żydowskie na Narodzie Polskim👇",https://twitter.com/Bartek93794875/statuses/1461429150988787718,15,0,"Twitter Web App"
Bartek93794875,"ID 1461428478276947977","Thu Nov 18 20:17:55 +0000 2021"," RT @hanna11816983: @Leszek35969617 żydokomuna chwasty antypolskie do wyplenienia🤮 https://t.co/1roU0PFpvz",https://twitter.com/Bartek93794875/statuses/1461428478276947977,4,0,"Twitter Web App"
Bartek93794875,"ID 1461428421259677711","Thu Nov 18 20:17:42 +0000 2021"," RT @Jarema2021PLv2: Fundacja Batorego, czyli Żydzi tacy jak Smolar, Holland, Bielecki, Łuczywo, czyli nierozliczona zydokomuna szkaluje Pol…",https://twitter.com/Bartek93794875/statuses/1461428421259677711,15,0,"Twitter Web App"
Bartek93794875,"ID 1461428400330059783","Thu Nov 18 20:17:37 +0000 2021"," RT @Ukash_P: @AnitaSchelde Niemcy cofnęły nas o dziesiątki lat.Rosja o kolejne. Żydokomuna dobiła.Wymordowali elity,podmienili.Transformacj…",https://twitter.com/Bartek93794875/statuses/1461428400330059783,3,0,"Twitter Web App"
